Activity Period,Operating Airline,Passenger Count
200508,United Airlines - Pre 07/01/2013,11585
200508,United Airlines - Pre 07/01/2013,79131
200508,United Airlines - Pre 07/01/2013,68861
200509,Alaska Airlines,5446
200508,United Airlines - Pre 07/01/2013,4059
200508,United Airlines - Pre 07/01/2013,8903
200508,United Airlines - Pre 07/01/2013,7874
200508,United Airlines - Pre 07/01/2013,1475
200508,United Airlines - Pre 07/01/2013,13895
200508,United Airlines - Pre 07/01/2013,12145
200508,United Airlines - Pre 07/01/2013,29236
200508,United Airlines - Pre 07/01/2013,29920
200508,United Airlines - Pre 07/01/2013,863
200508,United Airlines - Pre 07/01/2013,9397
200508,United Airlines - Pre 07/01/2013,9275
200508,United Airlines - Pre 07/01/2013,78
200508,Virgin Atlantic,10685
200508,Virgin Atlantic,11072
200508,WestJet Airlines,2300
200508,WestJet Airlines,2251
200509,ATA Airlines,17341
200509,ATA Airlines,18541
200509,ATA Airlines,4412
200509,Air Canada,24473
200509,Air Canada,26120
200509,Air China,4416
200509,Air China,4568
200509,Air France,10731
200509,Air France,11337
200509,Air New Zealand,4565
200509,Air New Zealand,4295
200509,AirTran Airways,7057
200509,AirTran Airways,6806
200509,Alaska Airlines,31117
200509,Alaska Airlines,33742
200509,Alaska Airlines,3843
200509,Alaska Airlines,6635
200509,Alaska Airlines,7783
200509,Alaska Airlines,161
200509,Alaska Airlines,7674
200509,Alaska Airlines,1504
200509,All Nippon Airways,5875
200509,All Nippon Airways,5960
200509,American Airlines,135043
200509,American Airlines,135944
200509,American Eagle Airlines,4240
200509,American Eagle Airlines,4166
200509,Asiana Airlines,4792
200509,Asiana Airlines,5140
200509,BelAir Airlines,108
200509,BelAir Airlines,315
200509,British Airways,20455
200509,British Airways,20635
200509,Cathay Pacific,8370
200509,Cathay Pacific,9874
200509,China Airlines,9154
200509,China Airlines,9486
200509,Delta Air Lines,17291
200509,Delta Air Lines,68347
200509,Delta Air Lines,17453
200509,Delta Air Lines,67160
200509,EVA Airways,9931
200509,EVA Airways,10752
200509,Frontier Airlines,13426
200509,Frontier Airlines,12989
200509,Hawaiian Airlines,7735
200509,Hawaiian Airlines,7624
200509,Horizon Air,4648
200509,Horizon Air,4401
200509,Icelandair,1996
200509,Icelandair,1677
200509,Independence Air,5218
200509,Independence Air,5503
200509,Japan Airlines,7087
200509,Japan Airlines,8264
200509,KLM Royal Dutch Airlines,9562
200509,KLM Royal Dutch Airlines,9513
200509,Korean Air Lines,4344
200509,Korean Air Lines,3448
200509,Lufthansa German Airlines,20535
200509,Lufthansa German Airlines,21379
200509,Mesa Airlines,1781
200509,Mesa Airlines,1751
200509,Mexicana Airlines,3986
200509,Mexicana Airlines,4823
200509,Midwest Airlines,2913
200509,Midwest Airlines,2867
200509,Northwest Airlines,48138
200509,Northwest Airlines,47061
200509,Northwest Airlines,5857
200509,Northwest Airlines,5615
200509,Philippine Airlines,8323
200509,Philippine Airlines,7875
200509,Singapore Airlines,15259
200509,Singapore Airlines,14251
200509,SkyWest Airlines,6356
200509,SkyWest Airlines,6666
200509,SkyWest Airlines,96832
200509,SkyWest Airlines,95008
200509,SkyWest Airlines,3581
200509,SkyWest Airlines,3457
200509,Sun Country Airlines,3686
200509,Sun Country Airlines,3592
200509,TACA,3790
200509,TACA,3529
200509,US Airways,35942
200509,US Airways,36632
200509,US Airways,34782
200509,US Airways,34761
200509,United Airlines,50133
200509,United Airlines,49094
200509,United Airlines - Pre 07/01/2013,50351
200608,Ameriflight,7
200509,United Airlines - Pre 07/01/2013,24678
200509,United Airlines - Pre 07/01/2013,50235
200509,United Airlines - Pre 07/01/2013,23767
200509,United Airlines - Pre 07/01/2013,483
200509,United Airlines - Pre 07/01/2013,357533
200509,United Airlines - Pre 07/01/2013,360563
200509,United Airlines - Pre 07/01/2013,8271
200509,United Airlines - Pre 07/01/2013,63027
200509,United Airlines - Pre 07/01/2013,62403
200509,United Airlines - Pre 07/01/2013,3163
200509,United Airlines - Pre 07/01/2013,8048
200509,United Airlines - Pre 07/01/2013,7750
200509,United Airlines - Pre 07/01/2013,1264
200509,United Airlines - Pre 07/01/2013,12095
200509,United Airlines - Pre 07/01/2013,10220
200509,United Airlines - Pre 07/01/2013,10
200509,United Airlines - Pre 07/01/2013,28093
200509,United Airlines - Pre 07/01/2013,29928
200509,United Airlines - Pre 07/01/2013,759
200509,United Airlines - Pre 07/01/2013,5191
200509,United Airlines - Pre 07/01/2013,5123
200509,United Airlines - Pre 07/01/2013,96
200509,Virgin Atlantic,11084
200509,Virgin Atlantic,11623
200509,WestJet Airlines,2050
200509,WestJet Airlines,1997
200510,ATA Airlines,17698
200510,ATA Airlines,19983
200510,ATA Airlines,5754
200510,Air Canada,22176
200510,Air Canada,22780
200510,Air China,4329
200510,Air China,4715
200510,Air France,10515
200510,Air France,10796
200510,Air New Zealand,3178
200510,Air New Zealand,4766
200510,AirTran Airways,6680
200510,AirTran Airways,6999
200510,Alaska Airlines,29388
200510,Alaska Airlines,33214
200510,Alaska Airlines,4159
200510,Alaska Airlines,5168
200510,Alaska Airlines,6093
200510,Alaska Airlines,793
200510,Alaska Airlines,5940
200510,Alaska Airlines,9998
200510,Alaska Airlines,2773
200510,All Nippon Airways,5669
200510,All Nippon Airways,6001
200510,American Airlines,138090
200510,American Airlines,138552
200510,American Eagle Airlines,4669
200510,American Eagle Airlines,4524
200510,Asiana Airlines,4674
200510,Asiana Airlines,5409
200510,British Airways,19453
200510,British Airways,18988
200510,Cathay Pacific,9571
200510,Cathay Pacific,11106
200510,China Airlines,8919
200510,China Airlines,10254
200510,Delta Air Lines,21516
200510,Delta Air Lines,62701
200510,Delta Air Lines,20904
200510,Delta Air Lines,63704
200510,EVA Airways,10122
200510,EVA Airways,11311
200510,Frontier Airlines,12585
200510,Frontier Airlines,12490
200510,Hawaiian Airlines,7556
200510,Hawaiian Airlines,6962
200510,Horizon Air,4470
200510,Horizon Air,4096
200510,Icelandair,809
200510,Icelandair,975
200510,Independence Air,4550
200510,Independence Air,4446
200510,Japan Airlines,7147
200510,Japan Airlines,7924
200510,KLM Royal Dutch Airlines,9383
200510,KLM Royal Dutch Airlines,9113
200510,Korean Air Lines,4115
200510,Korean Air Lines,3812
200510,Lufthansa German Airlines,20840
200510,Lufthansa German Airlines,19478
200510,Mesa Airlines,1502
200510,Mesa Airlines,1735
200510,Mexicana Airlines,5011
200510,Mexicana Airlines,7101
200510,Miami Air International,28
200510,Midwest Airlines,1594
200510,Midwest Airlines,2984
200510,Northwest Airlines,46907
200510,Northwest Airlines,48977
200510,Northwest Airlines,6229
200510,Northwest Airlines,6559
200510,Philippine Airlines,11573
200510,Philippine Airlines,10360
200510,Singapore Airlines,14694
200510,Singapore Airlines,17250
200510,SkyWest Airlines,6658
200510,SkyWest Airlines,6553
200510,SkyWest Airlines,102254
200510,SkyWest Airlines,101134
200510,SkyWest Airlines,3719
200510,SkyWest Airlines,3508
200510,Sun Country Airlines,3508
200510,Sun Country Airlines,3448
200510,TACA,3527
200510,TACA,4037
200510,US Airways,38737
200510,US Airways,37680
200510,US Airways,36058
200510,US Airways,34562
200510,United Airlines,52157
200510,United Airlines,52204
200510,United Airlines - Pre 07/01/2013,56427
200510,United Airlines - Pre 07/01/2013,24678
200510,United Airlines - Pre 07/01/2013,56155
200510,United Airlines - Pre 07/01/2013,23767
200510,United Airlines - Pre 07/01/2013,483
200510,United Airlines - Pre 07/01/2013,355551
200510,United Airlines - Pre 07/01/2013,355445
200510,United Airlines - Pre 07/01/2013,8271
200510,United Airlines - Pre 07/01/2013,63128
200510,United Airlines - Pre 07/01/2013,68237
200510,United Airlines - Pre 07/01/2013,3354
200510,United Airlines - Pre 07/01/2013,6280
200510,United Airlines - Pre 07/01/2013,9056
200510,United Airlines - Pre 07/01/2013,1046
200510,United Airlines - Pre 07/01/2013,10103
200510,United Airlines - Pre 07/01/2013,8022
200510,United Airlines - Pre 07/01/2013,40
200510,United Airlines - Pre 07/01/2013,27617
200510,United Airlines - Pre 07/01/2013,26955
200510,United Airlines - Pre 07/01/2013,862
200510,United Airlines - Pre 07/01/2013,7347
200510,United Airlines - Pre 07/01/2013,8491
200510,United Airlines - Pre 07/01/2013,230
200510,Virgin Atlantic,9604
200510,Virgin Atlantic,9751
200510,WestJet Airlines,1326
200510,WestJet Airlines,1458
200511,ATA Airlines,16855
200511,ATA Airlines,17376
200511,ATA Airlines,2911
200511,ATA Airlines,284
200511,ATA Airlines,284
200511,Air Canada,18143
200511,Air Canada,18144
200511,Air China,4550
200511,Air China,4149
200511,Air France,7121
200511,Air France,7574
200511,Air New Zealand,4085
200511,Air New Zealand,4583
200511,AirTran Airways,5892
200511,AirTran Airways,5929
200511,Alaska Airlines,31136
200511,Alaska Airlines,34920
200511,Alaska Airlines,3923
200511,Alaska Airlines,5921
200511,Alaska Airlines,5889
200511,Alaska Airlines,269
200511,Alaska Airlines,10845
200511,Alaska Airlines,12576
200511,Alaska Airlines,1253
200511,All Nippon Airways,5481
200511,All Nippon Airways,5304
200511,American Airlines,132066
200511,American Airlines,135008
200511,American Eagle Airlines,4390
200511,American Eagle Airlines,4409
200511,Asiana Airlines,4814
200511,Asiana Airlines,4569
200511,British Airways,15264
200511,British Airways,15554
200511,Cathay Pacific,9990
200511,Cathay Pacific,10097
200511,China Airlines,8954
200511,China Airlines,10234
200511,Delta Air Lines,21390
200511,Delta Air Lines,55102
200511,Delta Air Lines,20550
200511,Delta Air Lines,58191
200511,EVA Airways,10713
200511,EVA Airways,11792
200511,Frontier Airlines,13080
200511,Frontier Airlines,12922
200511,Hawaiian Airlines,6792
200511,Hawaiian Airlines,7195
200511,Horizon Air,4339
200511,Horizon Air,4472
200511,Independence Air,1555
200511,Independence Air,1790
200511,Japan Airlines,6925
200511,Japan Airlines,8103
200511,KLM Royal Dutch Airlines,7535
200511,KLM Royal Dutch Airlines,7110
200511,Korean Air Lines,4514
200511,Korean Air Lines,4409
200511,Lufthansa German Airlines,15301
200511,Lufthansa German Airlines,15229
200511,Mesa Airlines,1201
200511,Mesa Airlines,1441
200511,Mexicana Airlines,5431
200511,Mexicana Airlines,8184
200511,Midwest Airlines,1468
200511,Midwest Airlines,2537
200511,Northwest Airlines,44859
200511,Northwest Airlines,46200
200511,Northwest Airlines,6199
200511,Northwest Airlines,5965
200511,Philippine Airlines,9116
200511,Philippine Airlines,8086
200511,Singapore Airlines,15019
200511,Singapore Airlines,16438
200511,SkyWest Airlines,6431
200511,SkyWest Airlines,6472
200511,SkyWest Airlines,90860
200511,SkyWest Airlines,89742
200511,SkyWest Airlines,3046
200511,SkyWest Airlines,3064
200511,Sun Country Airlines,3868
200511,Sun Country Airlines,3811
200511,TACA,4105
200511,TACA,4259
200511,US Airways,27469
200511,US Airways,29799
200511,US Airways,33531
200511,US Airways,33243
200511,United Airlines,46958
200511,United Airlines,47813
200511,United Airlines - Pre 07/01/2013,58938
200511,United Airlines - Pre 07/01/2013,57821
200511,United Airlines - Pre 07/01/2013,380704
200511,United Airlines - Pre 07/01/2013,374221
200511,United Airlines - Pre 07/01/2013,7299
200511,United Airlines - Pre 07/01/2013,64080
200511,United Airlines - Pre 07/01/2013,60797
200511,United Airlines - Pre 07/01/2013,3465
200511,United Airlines - Pre 07/01/2013,7591
200511,United Airlines - Pre 07/01/2013,7850
200511,United Airlines - Pre 07/01/2013,1411
200511,United Airlines - Pre 07/01/2013,7794
200511,United Airlines - Pre 07/01/2013,7651
200511,United Airlines - Pre 07/01/2013,21996
200511,United Airlines - Pre 07/01/2013,21571
200511,United Airlines - Pre 07/01/2013,609
200511,United Airlines - Pre 07/01/2013,8612
200511,United Airlines - Pre 07/01/2013,9649
200511,United Airlines - Pre 07/01/2013,158
200511,Virgin Atlantic,8021
200511,Virgin Atlantic,8174
200511,WestJet Airlines,1268
200511,WestJet Airlines,1283
200512,ATA Airlines,15373
200512,ATA Airlines,16790
200512,ATA Airlines,2402
200512,Air Canada,19200
200512,Air Canada,19481
200512,Air Canada Jazz,554
200512,Air Canada Jazz,509
200512,Air China,4261
200512,Air China,3543
200512,Air France,7158
200512,Air France,7456
200512,Air New Zealand,7406
200512,Air New Zealand,6473
200512,AirTran Airways,5847
200512,AirTran Airways,5844
200512,Alaska Airlines,27640
200512,Alaska Airlines,35412
200512,Alaska Airlines,5903
200512,Alaska Airlines,6655
200512,Alaska Airlines,6847
200512,Alaska Airlines,147
200512,Alaska Airlines,9142
200512,Alaska Airlines,12586
200512,Alaska Airlines,1737
200512,All Nippon Airways,5355
200512,All Nippon Airways,5895
200512,American Airlines,127085
200512,American Airlines,130393
200512,American Eagle Airlines,4423
200512,American Eagle Airlines,4313
200512,Asiana Airlines,4768
200512,Asiana Airlines,5020
200512,British Airways,15058
200512,British Airways,15271
200512,Cathay Pacific,9813
200512,Cathay Pacific,10442
200512,China Airlines,9680
200512,China Airlines,11506
200512,Delta Air Lines,21336
200512,Delta Air Lines,54864
200512,Delta Air Lines,22322
200512,Delta Air Lines,57401
200512,EVA Airways,11032
200512,EVA Airways,12336
200512,Frontier Airlines,12855
200512,Frontier Airlines,13049
200512,Hawaiian Airlines,7024
200512,Hawaiian Airlines,7602
200512,Horizon Air,4113
200512,Horizon Air,4462
200512,Japan Airlines,7094
200512,Japan Airlines,9192
200512,KLM Royal Dutch Airlines,7324
200512,KLM Royal Dutch Airlines,7237
200512,Korean Air Lines,4474
200512,Korean Air Lines,5101
200512,Lufthansa German Airlines,14696
200512,Lufthansa German Airlines,14949
200512,Mesa Airlines,1158
200512,Mesa Airlines,1638
200512,Mexicana Airlines,5890
200512,Mexicana Airlines,10450
200512,Midwest Airlines,1739
200512,Midwest Airlines,2554
200512,Northwest Airlines,46348
200512,Northwest Airlines,47663
200512,Northwest Airlines,6331
200512,Northwest Airlines,6520
200512,Philippine Airlines,7623
200512,Philippine Airlines,12657
200512,Singapore Airlines,16877
200512,Singapore Airlines,18197
200512,SkyWest Airlines,4376
200512,SkyWest Airlines,3897
200512,SkyWest Airlines,90313
200512,SkyWest Airlines,90500
200512,SkyWest Airlines,3188
200512,SkyWest Airlines,3258
200512,Sun Country Airlines,4318
200512,Sun Country Airlines,4146
200512,TACA,5371
200512,TACA,7536
200512,US Airways,29880
200512,US Airways,25505
200512,US Airways,33736
200512,US Airways,26801
200512,United Airlines,47525
200512,United Airlines,49674
200512,United Airlines - Pre 07/01/2013,58428
200512,United Airlines - Pre 07/01/2013,62840
200512,United Airlines - Pre 07/01/2013,392724
200512,United Airlines - Pre 07/01/2013,382711
200512,United Airlines - Pre 07/01/2013,8913
200512,United Airlines - Pre 07/01/2013,62911
200512,United Airlines - Pre 07/01/2013,67674
200512,United Airlines - Pre 07/01/2013,3498
200512,United Airlines - Pre 07/01/2013,9418
200512,United Airlines - Pre 07/01/2013,9790
200512,United Airlines - Pre 07/01/2013,1024
200512,United Airlines - Pre 07/01/2013,11266
200512,United Airlines - Pre 07/01/2013,11319
200512,United Airlines - Pre 07/01/2013,64
200512,United Airlines - Pre 07/01/2013,22422
200512,United Airlines - Pre 07/01/2013,22376
200512,United Airlines - Pre 07/01/2013,476
200512,United Airlines - Pre 07/01/2013,10334
200512,United Airlines - Pre 07/01/2013,12624
200512,United Airlines - Pre 07/01/2013,123
200512,Virgin Atlantic,8179
200512,Virgin Atlantic,8798
200512,WestJet Airlines,1156
200512,WestJet Airlines,1209
200601,ATA Airlines,13010
200601,ATA Airlines,12226
200601,ATA Airlines,3316
200601,Air Canada,18986
200601,Air Canada,18360
200601,Air Canada Jazz,282
200601,Air Canada Jazz,337
200601,Air China,3470
200601,Air China,3078
200601,Air France,7565
200601,Air France,7175
200601,Air New Zealand,6688
200601,Air New Zealand,7450
200601,AirTran Airways,4096
200601,AirTran Airways,4057
200601,Alaska Airlines,28485
200601,Alaska Airlines,31577
200601,Alaska Airlines,4309
200601,Alaska Airlines,5804
200601,Alaska Airlines,4921
200601,Alaska Airlines,181
200601,Alaska Airlines,10758
200601,Alaska Airlines,11638
200601,Alaska Airlines,2265
200601,All Nippon Airways,6629
200601,All Nippon Airways,6005
200601,American Airlines,118267
200601,American Airlines,110409
200601,American Eagle Airlines,3676
200601,American Eagle Airlines,3530
200601,Asiana Airlines,5174
200601,Asiana Airlines,4680
200601,British Airways,16385
200601,British Airways,15573
200601,Cathay Pacific,11455
200601,Cathay Pacific,10399
200601,China Airlines,11773
200601,China Airlines,11480
200601,Delta Air Lines,17152
200601,Delta Air Lines,46377
200601,Delta Air Lines,15650
200601,Delta Air Lines,42321
200601,EVA Airways,12939
200601,EVA Airways,12688
200601,Frontier Airlines,12096
200601,Frontier Airlines,11071
200601,Hawaiian Airlines,7478
200601,Hawaiian Airlines,7255
200601,Horizon Air,3483
200601,Horizon Air,3613
200601,Japan Airlines,8755
200601,Japan Airlines,7819
200601,KLM Royal Dutch Airlines,7421
200601,KLM Royal Dutch Airlines,6508
200601,Korean Air Lines,6323
200601,Korean Air Lines,4759
200601,Lufthansa German Airlines,15751
200601,Lufthansa German Airlines,14551
200601,Mesa Airlines,1404
200601,Mesa Airlines,1140
200601,Mexicana Airlines,8043
200601,Mexicana Airlines,7313
200601,Midwest Airlines,1758
200601,Midwest Airlines,2451
200601,Northwest Airlines,39379
200601,Northwest Airlines,38256
200601,Northwest Airlines,6677
200601,Northwest Airlines,5751
200601,Philippine Airlines,11503
200601,Philippine Airlines,11854
200601,Singapore Airlines,18735
200601,Singapore Airlines,17786
200601,SkyWest Airlines,4753
200601,SkyWest Airlines,3666
200601,SkyWest Airlines,91151
200601,SkyWest Airlines,89509
200601,SkyWest Airlines,3434
200601,SkyWest Airlines,3291
200601,Sun Country Airlines,2370
200601,Sun Country Airlines,2429
200601,TACA,6237
200601,TACA,5321
200601,US Airways,33369
200601,US Airways,23134
200601,US Airways,29907
200601,US Airways,23799
200601,United Airlines,43087
200601,United Airlines,40247
200601,United Airlines - Pre 07/01/2013,57838
200601,United Airlines - Pre 07/01/2013,22774
200601,United Airlines - Pre 07/01/2013,55884
200601,United Airlines - Pre 07/01/2013,21087
200601,United Airlines - Pre 07/01/2013,422
200601,United Airlines - Pre 07/01/2013,324729
200601,United Airlines - Pre 07/01/2013,312749
200601,United Airlines - Pre 07/01/2013,7224
200601,United Airlines - Pre 07/01/2013,70439
200601,United Airlines - Pre 07/01/2013,61107
200601,United Airlines - Pre 07/01/2013,3025
200601,United Airlines - Pre 07/01/2013,10023
200601,United Airlines - Pre 07/01/2013,9951
200601,United Airlines - Pre 07/01/2013,1163
200601,United Airlines - Pre 07/01/2013,9683
200601,United Airlines - Pre 07/01/2013,9116
200601,United Airlines - Pre 07/01/2013,38
200601,United Airlines - Pre 07/01/2013,21457
200601,United Airlines - Pre 07/01/2013,20316
200601,United Airlines - Pre 07/01/2013,716
200601,United Airlines - Pre 07/01/2013,11371
200601,United Airlines - Pre 07/01/2013,11388
200601,United Airlines - Pre 07/01/2013,164
200601,Virgin Atlantic,9605
200601,Virgin Atlantic,8358
200601,WestJet Airlines,522
200601,WestJet Airlines,507
200602,ATA Airlines,9180
200602,ATA Airlines,10323
200602,ATA Airlines,3863
200602,Air Canada,17679
200602,Air Canada,17649
200602,Air China,2862
200602,Air China,2767
200602,Air France,6469
200602,Air France,6503
200602,Air New Zealand,5448
200602,Air New Zealand,6889
200602,AirTran Airways,2964
200602,AirTran Airways,2951
200602,Alaska Airlines,25039
200602,Alaska Airlines,30568
200602,Alaska Airlines,5023
200602,Alaska Airlines,5117
200602,Alaska Airlines,4872
200602,Alaska Airlines,219
200602,Alaska Airlines,7283
200602,Alaska Airlines,10743
200602,Alaska Airlines,2978
200602,All Nippon Airways,4580
200602,All Nippon Airways,4784
200602,American Airlines,102286
200602,American Airlines,101163
200602,American Eagle Airlines,3651
200602,American Eagle Airlines,3751
200602,Asiana Airlines,4201
200602,Asiana Airlines,3873
200602,British Airways,13206
200602,British Airways,12660
200602,Cathay Pacific,9418
200602,Cathay Pacific,9127
200602,China Airlines,9050
200602,China Airlines,9642
200602,Delta Air Lines,15320
200602,Delta Air Lines,41440
200602,Delta Air Lines,15004
200602,Delta Air Lines,40568
200602,EVA Airways,11113
200602,EVA Airways,11006
200602,Frontier Airlines,11945
200602,Frontier Airlines,11575
200602,Hawaiian Airlines,6369
200602,Hawaiian Airlines,6754
200602,Horizon Air,3489
200602,Horizon Air,3860
200602,Japan Airlines,7344
200602,Japan Airlines,6936
200602,KLM Royal Dutch Airlines,6240
200602,KLM Royal Dutch Airlines,5441
200602,Korean Air Lines,4850
200602,Korean Air Lines,4075
200602,Lufthansa German Airlines,13023
200602,Lufthansa German Airlines,12368
200602,Mesa Airlines,1179
200602,Mesa Airlines,1179
200602,Mexicana Airlines,6552
200602,Mexicana Airlines,6843
200602,Midwest Airlines,1817
200602,Midwest Airlines,2498
200602,Northwest Airlines,35111
200602,Northwest Airlines,35062
200602,Northwest Airlines,6119
200602,Northwest Airlines,5510
200602,Philippine Airlines,9974
200602,Philippine Airlines,6652
200602,Singapore Airlines,14183
200602,Singapore Airlines,14968
200602,SkyWest Airlines,2711
200602,SkyWest Airlines,2365
200602,SkyWest Airlines,90859
200602,SkyWest Airlines,89304
200602,SkyWest Airlines,4529
